,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
342,52.3687,4.8772,Appeltjesmarkt,6,2,Night
343,52.3713,4.87531,Groenmarkt,6,2,Night
344,52.354702,4.85755,Vondelpark,6,2,Night
395,52.3631,4.8808,Leidsebosje,6,5,Night
379,52.3628595,4.8833056,Max Euweplein,6,4,Night
380,52.3612,4.908,Weesperplein,6,4,Night
362,52.3612,4.908,Weesperplein,6,3,Night
361,52.3713,4.87531,Groenmarkt,6,3,Night
360,52.3628595,4.8833056,Max Euweplein,6,3,Night
359,52.3687,4.8772,Appeltjesmarkt,6,3,Night
358,52.3637,4.8822,Leidseplein,6,3,Night
357,52.3631,4.8808,Leidsebosje,6,3,Night
396,52.3628595,4.8833056,Max Euweplein,6,5,Night
393,52.3637,4.8822,Leidseplein,6,5,Night
394,52.3687,4.8772,Appeltjesmarkt,6,5,Night
199,52.3637,4.8822,Leidseplein,3,3,Night
325,52.3628595,4.8833056,Max Euweplein,5,5,Night
229,52.3612,4.908,Weesperplein,4,2,Night
228,52.3637,4.8822,Leidseplein,4,2,Night
227,52.3631,4.8808,Leidsebosje,4,2,Night
218,52.3631,4.8808,Leidsebosje,3,5,Night
217,52.3687,4.8772,Appeltjesmarkt,3,5,Night
216,52.3637,4.8822,Leidseplein,3,5,Night
209,52.3687,4.8772,Appeltjesmarkt,3,4,Night
208,52.3637,4.8822,Leidseplein,3,4,Night
207,52.3631,4.8808,Leidsebosje,3,4,Night
200,52.3687,4.8772,Appeltjesmarkt,3,3,Night
397,52.366338,4.88034,Raamplein,6,5,Night
198,52.3631,4.8808,Leidsebosje,3,3,Night
191,52.3612,4.908,Weesperplein,3,2,Night
190,52.3637,4.8822,Leidseplein,3,2,Night
189,52.3631,4.8808,Leidsebosje,3,2,Night
182,52.3687,4.8772,Appeltjesmarkt,2,5,Night
181,52.3637,4.8822,Leidseplein,2,5,Night
176,52.3637,4.8822,Leidseplein,2,4,Night
175,52.3631,4.8808,Leidsebosje,2,4,Night
170,52.3637,4.8822,Leidseplein,2,3,Night
169,52.3631,4.8808,Leidsebosje,2,3,Night
164,52.3637,4.8822,Leidseplein,2,2,Night
163,52.3631,4.8808,Leidsebosje,2,2,Night
158,52.3637,4.8822,Leidseplein,1,5,Night
155,52.3631,4.8808,Leidsebosje,1,4,Night
152,52.3631,4.8808,Leidsebosje,1,3,Night
149,52.3631,4.8808,Leidsebosje,1,2,Night
230,52.3687,4.8772,Appeltjesmarkt,4,2,Night
326,52.366338,4.88034,Raamplein,5,5,Night
239,52.3631,4.8808,Leidsebosje,4,3,Night
241,52.3687,4.8772,Appeltjesmarkt,4,3,Night
324,52.3631,4.8808,Leidsebosje,5,5,Night
323,52.3687,4.8772,Appeltjesmarkt,5,5,Night
322,52.3637,4.8822,Leidseplein,5,5,Night
311,52.3628595,4.8833056,Max Euweplein,5,4,Night
310,52.3713,4.87531,Groenmarkt,5,4,Night
309,52.3687,4.8772,Appeltjesmarkt,5,4,Night
308,52.3637,4.8822,Leidseplein,5,4,Night
307,52.3631,4.8808,Leidsebosje,5,4,Night
296,52.3713,4.87531,Groenmarkt,5,3,Night
295,52.3628595,4.8833056,Max Euweplein,5,3,Night
294,52.3687,4.8772,Appeltjesmarkt,5,3,Night
293,52.3637,4.8822,Leidseplein,5,3,Night
292,52.3631,4.8808,Leidsebosje,5,3,Night
281,52.3713,4.87531,Groenmarkt,5,2,Night
280,52.3687,4.8772,Appeltjesmarkt,5,2,Night
279,52.3612,4.908,Weesperplein,5,2,Night
278,52.3637,4.8822,Leidseplein,5,2,Night
277,52.3631,4.8808,Leidsebosje,5,2,Night
266,52.3628595,4.8833056,Max Euweplein,4,5,Night
265,52.3631,4.8808,Leidsebosje,4,5,Night
264,52.3687,4.8772,Appeltjesmarkt,4,5,Night
263,52.3637,4.8822,Leidseplein,4,5,Night
254,52.3713,4.87531,Groenmarkt,4,4,Night
253,52.3687,4.8772,Appeltjesmarkt,4,4,Night
252,52.3637,4.8822,Leidseplein,4,4,Night
251,52.3631,4.8808,Leidsebosje,4,4,Night
242,52.3628595,4.8833056,Max Euweplein,4,3,Night
240,52.3637,4.8822,Leidseplein,4,3,Night
398,52.366831866,4.886996452,Koningsplein,6,5,Night
