,index,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
271,5,52.3612,4.908,Weesperplein,6,4,Night
272,0,52.3637,4.8822,Leidseplein,6,5,Morning
273,1,52.3687,4.8772,Appeltjesmarkt,6,5,Morning
274,2,52.3631,4.8808,Leidsebosje,6,5,Morning
275,3,52.3628595,4.8833056,Max Euweplein,6,5,Morning
276,4,52.366338,4.88034,Raamplein,6,5,Morning
277,5,52.366831866,4.886996452,Koningsplein,6,5,Morning
278,0,52.3637,4.8822,Leidseplein,6,5,Afternoon
279,1,52.3687,4.8772,Appeltjesmarkt,6,5,Afternoon
280,2,52.3631,4.8808,Leidsebosje,6,5,Afternoon
281,3,52.3628595,4.8833056,Max Euweplein,6,5,Afternoon
282,4,52.366338,4.88034,Raamplein,6,5,Afternoon
283,5,52.366831866,4.886996452,Koningsplein,6,5,Afternoon
284,0,52.3637,4.8822,Leidseplein,6,5,Evening
285,1,52.3687,4.8772,Appeltjesmarkt,6,5,Evening
286,2,52.3631,4.8808,Leidsebosje,6,5,Evening
287,3,52.3628595,4.8833056,Max Euweplein,6,5,Evening
288,4,52.366338,4.88034,Raamplein,6,5,Evening
289,5,52.366831866,4.886996452,Koningsplein,6,5,Evening
290,0,52.3637,4.8822,Leidseplein,6,5,Night
291,1,52.3687,4.8772,Appeltjesmarkt,6,5,Night
292,2,52.3631,4.8808,Leidsebosje,6,5,Night
293,3,52.3628595,4.8833056,Max Euweplein,6,5,Night
294,4,52.366338,4.88034,Raamplein,6,5,Night
295,5,52.366831866,4.886996452,Koningsplein,6,5,Night
