buurt,prioriteit,dagdeel,uur,code,LAT,LNG
Elsrijk-Oost,2,Avond,7,,,
Elsrijk-Oost,2,Middag,6,,,
Elsrijk-Oost,2,Nacht,5,,,
Elsrijk-Oost,2,Ochtend,5,,,
Elsrijk-Oost,3,Avond,1,,,
Elsrijk-West,1,Avond,17,,,
Elsrijk-West,1,Middag,21,,,
Elsrijk-West,1,Nacht,5,,,
Elsrijk-West,1,Ochtend,8,,,
Elsrijk-West,2,Avond,9,,,
Elsrijk-West,2,Middag,3,,,
Elsrijk-West,2,Nacht,5,,,
Elsrijk-West,2,Ochtend,1,,,
Elsrijk-West,3,Ochtend,1,,,
Erasmuspark,1,Avond,48,E38,52.376243,4.8511805
Erasmuspark,1,Middag,45,E38,52.376243,4.8511805
Erasmuspark,1,Nacht,30,E38,52.376243,4.8511805
Erasmuspark,1,Ochtend,22,E38,52.376243,4.8511805
Erasmuspark,2,Avond,18,E38,52.376243,4.8511805
Erasmuspark,2,Middag,16,E38,52.376243,4.8511805
Erasmuspark,2,Nacht,6,E38,52.376243,4.8511805
Erasmuspark,2,Ochtend,2,E38,52.376243,4.8511805
Frankendael,1,Avond,175,M55,52.347574,4.9262095
Frankendael,1,Middag,128,M55,52.347574,4.9262095
Frankendael,1,Nacht,123,M55,52.347574,4.9262095
Frankendael,1,Ochtend,90,M55,52.347574,4.9262095
Frankendael,2,Avond,48,M55,52.347574,4.9262095
Frankendael,2,Middag,24,M55,52.347574,4.9262095
Frankendael,2,Nacht,29,M55,52.347574,4.9262095
Frankendael,2,Ochtend,9,M55,52.347574,4.9262095
Frankendael,3,Avond,1,M55,52.347574,4.9262095
Frankendael,3,Ochtend,2,M55,52.347574,4.9262095
Frederik Hendrikbuurt,1,Avond,54,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Middag,51,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Nacht,37,E16,52.3767595,4.873115
Frederik Hendrikbuurt,1,Ochtend,26,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Avond,12,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Middag,7,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Nacht,6,E16,52.3767595,4.873115
Frederik Hendrikbuurt,2,Ochtend,2,E16,52.3767595,4.873115
Gein,1,Avond,80,T97,52.2955235,4.9939255
Gein,1,Middag,60,T97,52.2955235,4.9939255
Gein,1,Nacht,52,T97,52.2955235,4.9939255
Gein,1,Ochtend,22,T97,52.2955235,4.9939255
Gein,2,Avond,23,T97,52.2955235,4.9939255
Gein,2,Middag,16,T97,52.2955235,4.9939255
Gein,2,Nacht,20,T97,52.2955235,4.9939255
Gein,2,Ochtend,10,T97,52.2955235,4.9939255
Gein,3,Middag,1,T97,52.2955235,4.9939255
Geuzenveld,1,Avond,170,F78,52.3785475,4.801818
Geuzenveld,1,Middag,130,F78,52.3785475,4.801818
Geuzenveld,1,Nacht,92,F78,52.3785475,4.801818
Geuzenveld,1,Ochtend,60,F78,52.3785475,4.801818
Geuzenveld,2,Avond,49,F78,52.3785475,4.801818
Geuzenveld,2,Middag,32,F78,52.3785475,4.801818
Geuzenveld,2,Nacht,23,F78,52.3785475,4.801818
Geuzenveld,2,Ochtend,8,F78,52.3785475,4.801818
Geuzenveld,3,Avond,1,F78,52.3785475,4.801818
Geuzenveld,3,Nacht,1,F78,52.3785475,4.801818
Geuzenveld,3,Ochtend,1,F78,52.3785475,4.801818
Glastuinbouwgebied,1,Avond,4,,,
Glastuinbouwgebied,1,Middag,6,,,
Glastuinbouwgebied,1,Nacht,5,,,
Glastuinbouwgebied,1,Ochtend,5,,,
Glastuinbouwgebied,2,Avond,2,,,
Grachtengordel-West,1,Avond,112,A02,52.373349,4.8882135
Grachtengordel-West,1,Middag,95,A02,52.373349,4.8882135
Grachtengordel-West,1,Nacht,57,A02,52.373349,4.8882135
Grachtengordel-West,1,Ochtend,74,A02,52.373349,4.8882135
Grachtengordel-West,2,Avond,7,A02,52.373349,4.8882135
Grachtengordel-West,2,Middag,8,A02,52.373349,4.8882135
Grachtengordel-West,2,Nacht,15,A02,52.373349,4.8882135
Grachtengordel-West,2,Ochtend,3,A02,52.373349,4.8882135
Grachtengordel-West,3,Middag,1,A02,52.373349,4.8882135
Grachtengordel-West,3,Nacht,3,A02,52.373349,4.8882135
Grachtengordel-Zuid,1,Avond,103,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Middag,103,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Nacht,72,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Ochtend,76,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Avond,5,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Middag,5,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Nacht,9,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Ochtend,4,A03,52.365051,4.892784
Grachtengordel-Zuid,3,Middag,2,A03,52.365051,4.892784
Grachtengordel-Zuid,3,Ochtend,1,A03,52.365051,4.892784
Greenpark,1,Avond,11,,,
Greenpark,1,Middag,12,,,
Greenpark,1,Nacht,7,,,
Greenpark,1,Ochtend,10,,,
Greenpark,2,Avond,1,,,
Greenpark,2,Middag,2,,,
Greenpark,2,Nacht,4,,,
Groenelaan,1,Avond,158,,,
Groenelaan,1,Middag,229,,,
Groenelaan,1,Nacht,68,,,
Groenelaan,1,Ochtend,172,,,
Groenelaan,2,Avond,9,,,
Groenelaan,2,Middag,19,,,
Groenelaan,2,Nacht,5,,,
Groenelaan,2,Ochtend,5,,,
Groenelaan,3,Middag,1,,,
Haarlemmerbuurt,1,Avond,82,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Middag,71,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Nacht,60,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Ochtend,65,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Avond,12,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Middag,8,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Nacht,10,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Ochtend,3,A05,52.383729,4.8902195
Helmersbuurt,1,Avond,75,E20,52.3635335,4.8715505
Helmersbuurt,1,Middag,60,E20,52.3635335,4.8715505
Helmersbuurt,1,Nacht,44,E20,52.3635335,4.8715505
Helmersbuurt,1,Ochtend,48,E20,52.3635335,4.8715505
Helmersbuurt,2,Avond,10,E20,52.3635335,4.8715505
Helmersbuurt,2,Middag,11,E20,52.3635335,4.8715505
Helmersbuurt,2,Nacht,11,E20,52.3635335,4.8715505
Helmersbuurt,2,Ochtend,4,E20,52.3635335,4.8715505
Helmersbuurt,3,Nacht,1,E20,52.3635335,4.8715505
Helmersbuurt,3,Ochtend,1,E20,52.3635335,4.8715505
Holendrecht/Reigersbos,1,Avond,150,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Middag,135,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Nacht,91,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Ochtend,45,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,2,Avond,43,T96,52.2961795,4.9694905
