wijk,prioriteit,dagdeel,count,code,LAT,LNG
Geuzenveld,1,Nacht,92,F78,52.3785475,4.801818
Geuzenveld,1,Ochtend,60,F78,52.3785475,4.801818
Geuzenveld,2,Avond,49,F78,52.3785475,4.801818
Geuzenveld,2,Middag,32,F78,52.3785475,4.801818
Geuzenveld,2,Nacht,23,F78,52.3785475,4.801818
Geuzenveld,2,Ochtend,8,F78,52.3785475,4.801818
Geuzenveld,3,Avond,1,F78,52.3785475,4.801818
Geuzenveld,3,Nacht,1,F78,52.3785475,4.801818
Geuzenveld,3,Ochtend,1,F78,52.3785475,4.801818
Grachtengordel-West,1,Avond,112,A02,52.373349,4.8882135
Grachtengordel-West,1,Middag,95,A02,52.373349,4.8882135
Grachtengordel-West,1,Nacht,57,A02,52.373349,4.8882135
Grachtengordel-West,1,Ochtend,74,A02,52.373349,4.8882135
Grachtengordel-West,2,Avond,7,A02,52.373349,4.8882135
Grachtengordel-West,2,Middag,8,A02,52.373349,4.8882135
Grachtengordel-West,2,Nacht,15,A02,52.373349,4.8882135
Grachtengordel-West,2,Ochtend,3,A02,52.373349,4.8882135
Grachtengordel-West,3,Middag,1,A02,52.373349,4.8882135
Grachtengordel-West,3,Nacht,3,A02,52.373349,4.8882135
Grachtengordel-Zuid,1,Avond,103,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Middag,103,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Nacht,72,A03,52.365051,4.892784
Grachtengordel-Zuid,1,Ochtend,76,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Avond,5,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Middag,5,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Nacht,9,A03,52.365051,4.892784
Grachtengordel-Zuid,2,Ochtend,4,A03,52.365051,4.892784
Grachtengordel-Zuid,3,Middag,2,A03,52.365051,4.892784
Grachtengordel-Zuid,3,Ochtend,1,A03,52.365051,4.892784
Haarlemmerbuurt,1,Avond,82,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Middag,71,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Nacht,60,A05,52.383729,4.8902195
Haarlemmerbuurt,1,Ochtend,65,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Avond,12,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Middag,8,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Nacht,10,A05,52.383729,4.8902195
Haarlemmerbuurt,2,Ochtend,3,A05,52.383729,4.8902195
Helmersbuurt,1,Avond,75,E20,52.3635335,4.8715505
Helmersbuurt,1,Middag,60,E20,52.3635335,4.8715505
Helmersbuurt,1,Nacht,44,E20,52.3635335,4.8715505
Helmersbuurt,1,Ochtend,48,E20,52.3635335,4.8715505
Helmersbuurt,2,Avond,10,E20,52.3635335,4.8715505
Helmersbuurt,2,Middag,11,E20,52.3635335,4.8715505
Helmersbuurt,2,Nacht,11,E20,52.3635335,4.8715505
Helmersbuurt,2,Ochtend,4,E20,52.3635335,4.8715505
Helmersbuurt,3,Nacht,1,E20,52.3635335,4.8715505
Helmersbuurt,3,Ochtend,1,E20,52.3635335,4.8715505
Holendrecht/Reigersbos,1,Avond,150,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Middag,135,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Nacht,91,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,1,Ochtend,45,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,2,Avond,43,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,2,Middag,24,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,2,Nacht,18,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,2,Ochtend,8,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,3,Nacht,1,T96,52.2961795,4.9694905
Holendrecht/Reigersbos,3,Ochtend,1,T96,52.2961795,4.9694905
Hoofddorppleinbuurt,1,Avond,82,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,1,Middag,65,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,1,Nacht,46,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,1,Ochtend,43,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,2,Avond,12,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,2,Middag,12,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,2,Nacht,14,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,2,Ochtend,7,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,3,Middag,1,K44,52.3480815,4.8481375
Hoofddorppleinbuurt,3,Nacht,1,K44,52.3480815,4.8481375
Hoofdweg e.o.,1,Avond,98,E42,52.367247,4.8533065
Hoofdweg e.o.,1,Middag,69,E42,52.367247,4.8533065
Hoofdweg e.o.,1,Nacht,43,E42,52.367247,4.8533065
Hoofdweg e.o.,1,Ochtend,39,E42,52.367247,4.8533065
Hoofdweg e.o.,2,Avond,11,E42,52.367247,4.8533065
Hoofdweg e.o.,2,Middag,18,E42,52.367247,4.8533065
Hoofdweg e.o.,2,Nacht,17,E42,52.367247,4.8533065
Hoofdweg e.o.,2,Ochtend,8,E42,52.367247,4.8533065
Hoofdweg e.o.,3,Avond,1,E42,52.367247,4.8533065
Hoofdweg e.o.,3,Nacht,1,E42,52.367247,4.8533065
Houthavens,1,Avond,19,E12,52.3937845,4.8803175
Houthavens,1,Middag,19,E12,52.3937845,4.8803175
Houthavens,1,Nacht,18,E12,52.3937845,4.8803175
Houthavens,1,Ochtend,8,E12,52.3937845,4.8803175
Houthavens,2,Avond,6,E12,52.3937845,4.8803175
Houthavens,2,Middag,6,E12,52.3937845,4.8803175
Houthavens,2,Nacht,10,E12,52.3937845,4.8803175
Houthavens,2,Ochtend,1,E12,52.3937845,4.8803175
Houthavens,3,Nacht,1,E12,52.3937845,4.8803175
IJburg West,1,Avond,111,M35,52.359685,4.991164
IJburg West,1,Middag,86,M35,52.359685,4.991164
IJburg West,1,Nacht,39,M35,52.359685,4.991164
IJburg West,1,Ochtend,50,M35,52.359685,4.991164
IJburg West,2,Avond,33,M35,52.359685,4.991164
IJburg West,2,Middag,19,M35,52.359685,4.991164
IJburg West,2,Nacht,7,M35,52.359685,4.991164
IJburg West,2,Ochtend,4,M35,52.359685,4.991164
IJburg West,3,Avond,2,M35,52.359685,4.991164
IJburg West,3,Ochtend,1,M35,52.359685,4.991164
IJburg Zuid,1,Avond,37,M51,52.3493295,5.006388
IJburg Zuid,1,Middag,36,M51,52.3493295,5.006388
IJburg Zuid,1,Nacht,18,M51,52.3493295,5.006388
IJburg Zuid,1,Ochtend,16,M51,52.3493295,5.006388
IJburg Zuid,2,Avond,8,M51,52.3493295,5.006388
IJburg Zuid,2,Middag,10,M51,52.3493295,5.006388
IJburg Zuid,2,Nacht,3,M51,52.3493295,5.006388
IJburg Zuid,2,Ochtend,5,M51,52.3493295,5.006388
IJselbuurt,1,Avond,46,K53,52.3480695,4.9039145
IJselbuurt,1,Middag,35,K53,52.3480695,4.9039145
IJselbuurt,1,Nacht,22,K53,52.3480695,4.9039145
IJselbuurt,1,Ochtend,21,K53,52.3480695,4.9039145
IJselbuurt,2,Avond,12,K53,52.3480695,4.9039145
IJselbuurt,2,Middag,7,K53,52.3480695,4.9039145
IJselbuurt,2,Nacht,4,K53,52.3480695,4.9039145
IJselbuurt,2,Ochtend,3,K53,52.3480695,4.9039145
IJselbuurt,3,Avond,1,K53,52.3480695,4.9039145
IJplein/Vogelbuurt,1,Avond,102,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,1,Middag,78,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,1,Nacht,76,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,1,Ochtend,34,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,2,Avond,38,N61,52.3894655,4.9208635
IJplein/Vogelbuurt,2,Middag,12,N61,52.3894655,4.9208635
